,query_id,Used Sources (cited),Question,Output (cited),Output,Sent (cited),Sent,Citation Dict,Abstention Type,op,All Sources,All URLs,All Sources (cited),Fluency Rating,Perceived Utility Rating,n-gram precision,Citation Count,n sentences,uuid,annotator_id,first_human_fluency_rating,first_human_utility_rating,t2v_precision,t2v_coverage,timestamp,precise_citations,is_covered,Sentences Need Citation,human_fluency_rating,human_utility_rating
0,172,"[""https://www.scribd.com/document/558251272/M-Madhava-Prasad-Ideology-of-the-Hindi-Film-a-Historical-Construction-Oxford-University-Press-1998\nAnother deployment of the darsanic gaze can be seen in HindiImaginary identification, however, is enabled by the comedy track, cinema of the post-70s, especially in the Amitabh Bachchan films.where more familiar, less exalted figures enact a more worldly drama The most interesting example of this is the 1989 film Main Azadof everyday life. \x1b[92m[3] The structure of this staggered identification process Hun (Director: Tinu Anand), which is a remake of Frank Capra'spowerfully links up, as already noted, with the relation between MeetJohn Doe (941) with an original darsanic twist that is differentHanuman and Rama in the Ramdyana, especially as elaborated in from the many variations on the ending that Capra is said to havepopular discourse.\x1b[0m This aspect particularly is strongly apparent in tried 2J In the Hindi version Azad dies. In the original, John Doe isthe regional cinemas of the south where male comic actors often "", ""https://www.scribd.com/document/558251272/M-Madhava-Prasad-Ideology-of-the-Hindi-Film-a-Historical-Construction-Oxford-University-Press-1998\nprocess, available for future exploitation. points of entry. After an initial period in which he failed to secure The value deriving from a star persona is part rent and part any significant acting roles, Bachchan found a hospitable climate in profit. \x1b[92m[4] From the star's perspective, his/her body is a source of rent, Hrishikesh Mukherjee's middle-class films where he appeared as a since its principal quality, charisma, is coded as a possession that cultured, concerned doctor (Anand), angry son of an industrialist he/she is 'born with', notwithstanding the work that goes into (Namak Haram), a singer who rebels against his orthodox father producing it.\x1b[0m From the perspective of the film-makers, the payment (Aalap), etc. In this early period he also worked as a hero of the old of rent enables the exploitation of this 'ground' in profit-making style in films like pyar ki Kabani and Bombay to Goa, while taking ventures. The star's persona thus accumulates within itself attributes "", 'Frederic Zelnik\nFrederic Zelnik( 17 May 1885 – 29 November 1950) was one of the most important producers- directors of the German silent cinema. \x1b[92m[2] Zelnik became a successful director and also producer of period operetta films in 1920s and 1930s.\x1b[0m He also appeared on screen as an actor. ', ""Budtameez\n\x1b[92m[1] Budtameez( English:' Insolent') is a 1966 Bollywood film produced by Jagdish Varma and directed by Manmohan Desai.\x1b[0m The film stars Shammi Kapoor, Sadhana( actress) and Manorama. The film's music was by Shankar Jaikishan. The film was a box office success. "", 'Manmohan Desai\n\x1b[92m[0] Manmohan Desai( 26 February 1937 – 1 March 1994) was a producer and director of Indian movies.\x1b[0m ']","Which film has the director born later, Budtameez or Mary Lou (1928 Film)?","Budtameez, directed by Manmohan Desai, has a director born later than the director of Mary Lou [92m[0][0m[92m[1][0m[92m[2][0m[92m[3][0m[92m[4][0m.","Budtameez, directed by Manmohan Desai, has a director born later than the director of Mary Lou.","['Budtameez, directed by Manmohan Desai, has a director born later than the director of Mary Lou \x1b[92m[0]\x1b[0m\x1b[92m[1]\x1b[0m\x1b[92m[2]\x1b[0m\x1b[92m[3]\x1b[0m\x1b[92m[4]\x1b[0m.']","['Budtameez, directed by Manmohan Desai, has a director born later than the director of Mary Lou.']","{'0': {'citation_numbers': [0, 1, 2, 3, 4]}}",No Failure,Post Hoc,,,,,,,,,262,lCEp5abdrghSE78,3,3,[104.028380393982],[46.1619534492493],2024-09-04 19:16:38.770321+00,"[{""annotations"":[1,1,0,0,0],""sentence_id"":0}]","[{""coverage"":0,""sentence_id"":0}]",[True],3,3
1,117,[],Do both films It Happened To Adele and Rogues Of Sherwood Forest have the directors that share the same nationality?,"No. While both films have notable directors, their nationalities differ. ""It Happened to Adele"" is directed by a French filmmaker, while ""Rogues of Sherwood Forest"" is helmed by an American director.","No. While both films have notable directors, their nationalities differ. ""It Happened to Adele"" is directed by a French filmmaker, while ""Rogues of Sherwood Forest"" is helmed by an American director.","['No.', 'While both films have notable directors, their nationalities differ.', '""It Happened to Adele"" is directed by a French filmmaker, while ""Rogues of Sherwood Forest"" is helmed by an American director.']","['No.', 'While both films have notable directors, their nationalities differ.', '""It Happened to Adele"" is directed by a French filmmaker, while ""Rogues of Sherwood Forest"" is helmed by an American director.']","{'0': {'citation_numbers': []}, '1': {'citation_numbers': []}, '2': {'citation_numbers': []}}",No Failure,Gemini,,,,,,,,,147,eQBKoJjNAPP7V6Z,3,3,[],[],2024-09-04 18:51:33.316645+00,"[{""annotations"":[],""sentence_id"":0},{""annotations"":[],""sentence_id"":1},{""annotations"":[],""sentence_id"":2}]","[{""coverage"":-1,""sentence_id"":0},{""coverage"":-1,""sentence_id"":1},{""coverage"":-1,""sentence_id"":2}]","[False, True, True]",3,3
2,215,"['https://www.inaturalist.org/places/wikipedia/Kermanshah\nTaghbostan is a series of large rock reliefs from the era of Sassanid Empire of Persia, the Iranian dynasty which ruled western Asia from 226 to 650 AD. \x1b[92m[0] This example of Sassanid art is located 5 km (3 mi) from the city center of Kermanshah in western Iran.\x1b[0m[36] It is located in the heart of the Zagros mountains, where it has endured almost 1,700 years of wind and rain. The carvings, some of the finest and best-preserved examples of Persian sculpture under the Sassanids, include representations of the investitures of Ardashir II (379–383) and Shapur III (383–388). Like other Sassanid symbols, Taghbostan and its relief patterns accentuate power, religious tendencies, glory, honor, the vastness of the court, game and fighting spirit, festivity, joy, and rejoicing. ']",Are Bagh Bid-E Sofla and Poshteh Hesar both located in the same country?,"Yes, both Bagh Bid-E Sofla and Poshteh Hesar are located in the same country, Iran [92m[0][0m.","Yes, both Bagh Bid-E Sofla and Poshteh Hesar are located in the same country, Iran.","['Yes, both Bagh Bid-E Sofla and Poshteh Hesar are located in the same country, Iran \x1b[92m[0]\x1b[0m.']","['Yes, both Bagh Bid-E Sofla and Poshteh Hesar are located in the same country, Iran.']",{'0': {'citation_numbers': [0]}},No Failure,Post Hoc,,,,,,,,,393,6gbJojnMbJMuo9Z,3,3,[9.36090874671936],[27.335791349411],2024-09-04 20:04:02.80635+00,"[{""annotations"":[0],""sentence_id"":0}]","[{""coverage"":0,""sentence_id"":0}]",[True],3,3
3,87,"[""Tauno Pylkkänen\n\x1b[92m[1] Tauno Kullervo Pylkkänen( March 22, 1918, Helsinki – March 13, 1980, Helsinki) was a Finnish composer.\x1b[0m Pylkkänen was a student of Leevi Madetoja and Selim Palmgren, and studied at the Helsinki Conservatory, then in Paris, Rome, and Vienna. He made his breakthrough as a composer with the opera' Mare ja hänen poikansa'( 1943) after Aino Kallas, which was premiered in the Finnish Opera in 1945. It was followed by ten more operas, including the internationally successful' Sudenmorsian'( 1950). From 1960 to 1967 he was artistic director of the Finnish Opera. In addition to the operas he composed a symphony, a symphonic fantasy, six symphonic poems, a cello concerto, chamber music works, a cantata, film music, a choir cycle for women's voices, songs and two song cycles. "", 'Federico Ferrari\n\x1b[92m[0] Federico Ferrari( born 15 September 1969) is an Italian philosopher and art critic.\x1b[0m He teaches Philosophy of Art at Brera Academy, in Milan, Italy. ']","Who is younger, Tauno Pylkkänen or Federico Ferrari?","Federico Ferrari is younger than Tauno Pylkkänen, as Pylkkänen was born in 1918 and Ferrari is contemporary [92m[0][0m[92m[1][0m.","Federico Ferrari is younger than Tauno Pylkkänen, as Pylkkänen was born in 1918 and Ferrari is contemporary.","['Federico Ferrari is younger than Tauno Pylkkänen, as Pylkkänen was born in 1918 and Ferrari is contemporary \x1b[92m[0]\x1b[0m\x1b[92m[1]\x1b[0m.']","['Federico Ferrari is younger than Tauno Pylkkänen, as Pylkkänen was born in 1918 and Ferrari is contemporary.']","{'0': {'citation_numbers': [0, 1]}}",No Failure,Post Hoc,,,,,,,,,86,eQBKoJjNAPP7V6Z,3,1,[10.1377885341644],[18.8052361011505],2024-09-04 18:34:40.500724+00,"[{""annotations"":[1,1],""sentence_id"":0}]","[{""coverage"":1,""sentence_id"":0}]",[True],3,3
4,173,"[""David MacDonald (director)\n\x1b[92m[0] David MacDonald (9 May 1904 in Helensburgh, Dunbartonshire – 22 June 1983 in London) was a Scottish film director, writer and producer.\x1b[0m His first major film as director was 'The Brothers'. ""]",Where was the place of death of the director of film Spies Of The Air?,"The director of ""Spies Of The Air"" died in London, England [92m[0][0m.","The director of ""Spies Of The Air"" died in London, England.","['The director of ""Spies Of The Air"" died in London, England \x1b[92m[0]\x1b[0m.']","['The director of ""Spies Of The Air"" died in London, England.']",{'0': {'citation_numbers': [0]}},No Failure,Post Hoc,,,,,,,,,258,eQBKoJjNAPP7V6Z,3,3,[3.59436368942261],[20.4252641201019],2024-09-04 19:14:50.127971+00,"[{""annotations"":[1],""sentence_id"":0}]","[{""coverage"":0,""sentence_id"":0}]",[True],3,3
5,95,[],Where was the place of death of the director of film The Misadventure Of A French Gentleman Without Pants At The Zandvoort Beach?,"The director of the film ""The Misadventure of a French Gentleman Without Pants at the Zandvoort Beach"" passed away in Zandvoort, the Netherlands.","The director of the film ""The Misadventure of a French Gentleman Without Pants at the Zandvoort Beach"" passed away in Zandvoort, the Netherlands.","['The director of the film ""The Misadventure of a French Gentleman Without Pants at the Zandvoort Beach"" passed away in Zandvoort, the Netherlands.']","['The director of the film ""The Misadventure of a French Gentleman Without Pants at the Zandvoort Beach"" passed away in Zandvoort, the Netherlands.']",{'0': {'citation_numbers': []}},No Failure,Gemini,,,,,,,,,100,lCEp5abdrghSE78,3,3,[],[],2024-09-04 18:39:43.819582+00,"[{""annotations"":[],""sentence_id"":0}]","[{""coverage"":-1,""sentence_id"":0}]",[True],3,3
6,184,"['Nat Ross\nNat Ross (June 13, 1902 – February 24, 1941) was an American film director and producer of the silent era. He directed 61 films between 1922 and 1931. He was born in San Francisco, California. \x1b[92m[0] He was shot dead in Los Angeles in 1941 by a disgruntled employee whom Ross had fired from the plant where Ross was working as foreman.\x1b[0m He was the nephew of producer Carl Laemmle. ']",Where did the director of film The Ghost Patrol die?,"The director of The Ghost Patrol, died in Los Angeles, California [92m[0][0m.","The director of The Ghost Patrol, died in Los Angeles, California.","['The director of The Ghost Patrol, died in Los Angeles, California \x1b[92m[0]\x1b[0m.']","['The director of The Ghost Patrol, died in Los Angeles, California.']",{'0': {'citation_numbers': [0]}},No Failure,Post Hoc,,,,,,,,,290,lCEp5abdrghSE78,3,3,[14.5891606807709],[10.040647983551],2024-09-04 19:21:04.783625+00,"[{""annotations"":[0],""sentence_id"":0}]","[{""coverage"":0,""sentence_id"":0}]",[True],3,2
7,235,"[""https://en.wikipedia.org/wiki/Lester_James_Peries\n\x1b[92m[0] Lester James Peries was born on 5 April 1919 in Dehiwela, Colombo, Ceylon.\x1b[0m His father, Dr. James Francis Peries, studied medicine in Scotland and was also a cricketer for a Scottish club. His mother, Ann Gertrude Winifred Jayasuria, was the first graduate of St. Bridget's Convent, Colombo. Peries had three siblings: Erica, Ivan and Noel. "", ""https://en.wikipedia.org/wiki/Lester_James_Peries\nThe Foundation is spearheaded by its trustees- Dr. Lester James Peries, Mrs. Sumitra Peries, Mr. Yadamini Gunawardena, Mr. Kumar de Silva and Mrs. Gayathri Mustachi. Also on the board of directors serves Ms. Yashodha Wimaladharma, Mr. Sameera Manabharana Randeniya, Mr. Yasoja Gunawardena and Mr. Nuran Gomez. The 'Lester James Peries Film Archive' The most recent development on Dr. Lester James Peries is the building of a film archive in his name. From the time he was a young film maker one of his only requests was that the government make way for a proper film archive that would help protect the heritage of the films produced by Sri Lanka. \x1b[92m[2] On 5 April 2014, his own milestone 95th birthday, his request was granted when the National film corporation ceremoniously opened the 'Lester James Peries Film Archives' at the request of President Mahinda Rajapakse.\x1b[0m The event was followed by a photographic exhibition of Dr. Peries' life and works. Literature and records "", 'http://www.sundaytimes.lk/160403/magazine/happy-birthday-father-of-sri-lankan-cinema-187963.html\n\x1b[92m[3] Happy Birthday Father of Sri Lankan cinema | The Sunday Times Sri Lanka Dr. Lester James Peries unarguably the father of Sri Lankan cinema and the legend who inscribed the name of Sri Lankan cinema in the world turns 97  on Tuesday, April 5.\x1b[0m Starting his career as a young cub reporter as young as 17 years, Lester wrote to the blue pages of the Ceylon Daily News. \x1b[92m[4] [...] Home Archive Feeds Contact Us Feeds Editorials Times Online News Columns Editorial Sunday Times 2 Plus Sports Business Times Magazine Arts Mirror TV Times Funday Times MediScene Advertise Archive Feeds Contact Us Sunday, April 03, 2016 Happy Birthday Father of Sri Lankan cinema Dr. Lester James Peries turns 97View(s): Laster James Peries Dr. Lester James Peries unarguably the father of Sri Lankan cinema and the legend who inscribed the name of Sri Lankan cinema in the world turns 97  on Tuesday, April 5.\x1b[0m ', ""Lester James Peries\n\x1b[92m[1] Sri Lankabhimanya Lester James Peries (Sinhala: ශ් රී ලංකාභිමාන් ය ලෙස්ටර් ජේම්ස් පීරිස්; 5 April 1919 – 29 April 2018) was a Sri Lankan film director, screenwriter, and film producer.\x1b[0m Considered as the father of Sri Lankan cinema, Lester worked as a filmmaker from 1949 to 2006, and was involved in over 28 films, including shorts and documentaries. He received critical acclaim for directing 'RekavaGamperaliyaNidhanayaGolu HadawathaKaliyugayaAwaragira' and 'Yuganthaya'. His movie 'Wekande Walauwa', starring Ravindra Randeniya and Malini Fonseka, was Sri Lanka's first ever submission for the Academy Awards and the film 'Nidhanaya' was included among the top 100 films of the century by the Cinémathèque Française. Peries' films often deal with Sri Lankan family life in rural settings and conflicted characters. He helped create an authentic expression of Sinhala Cinema. ""]",When is the director of film Madol Duwa 's birthday?,"The director of the film Madol Duwa, Lester James Peries, was born on April 5, 1919 [92m[0][0m[92m[1][0m[92m[2][0m[92m[3][0m[92m[4][0m.","The director of the film Madol Duwa, Lester James Peries, was born on April 5, 1919.","['The director of the film Madol Duwa, Lester James Peries, was born on April 5, 1919 \x1b[92m[0]\x1b[0m\x1b[92m[1]\x1b[0m\x1b[92m[2]\x1b[0m\x1b[92m[3]\x1b[0m\x1b[92m[4]\x1b[0m.']","['The director of the film Madol Duwa, Lester James Peries, was born on April 5, 1919.']","{'0': {'citation_numbers': [0, 1, 2, 3, 4]}}",No Failure,Post Hoc,,,,,,,,,356,DO1DhOd0kwIHrgb,3,3,[28.0022194385529],[158.045437335968],2024-09-04 19:41:18.393435+00,"[{""annotations"":[1,1,1,1,1],""sentence_id"":0}]","[{""coverage"":0,""sentence_id"":0}]",[True],3,3
8,246,[],Are both Twilight Train and The Cannibals (1988 Film) from the same country?,"Twilight Train is a Japanese film, while The Cannibals (1988 Film) is a Peruvian film. Therefore, they are not from the same country.","Twilight Train is a Japanese film, while The Cannibals (1988 Film) is a Peruvian film. Therefore, they are not from the same country.","['Twilight Train is a Japanese film, while The Cannibals (1988 Film) is a Peruvian film.', 'Therefore, they are not from the same country.']","['Twilight Train is a Japanese film, while The Cannibals (1988 Film) is a Peruvian film.', 'Therefore, they are not from the same country.']","{'0': {'citation_numbers': []}, '1': {'citation_numbers': []}}",No Failure,Gemini,,,,,,,,,388,6Sv6UKRuroNlZ0v,3,3,[],[],2024-09-04 20:00:22.744713+00,"[{""annotations"":[],""sentence_id"":0},{""annotations"":[],""sentence_id"":1}]","[{""coverage"":-1,""sentence_id"":0},{""coverage"":-1,""sentence_id"":1}]","[True, True]",3,2
9,232,[],Where was the place of death of the director of film Honeymoon (1941 Film)?,"The director of the film Honeymoon (1941), Busby Berkeley, died in Palm Springs, California.","The director of the film Honeymoon (1941), Busby Berkeley, died in Palm Springs, California.","['The director of the film Honeymoon (1941), Busby Berkeley, died in Palm Springs, California.']","['The director of the film Honeymoon (1941), Busby Berkeley, died in Palm Springs, California.']",{'0': {'citation_numbers': []}},No Failure,Post Hoc,,,,,,,,,340,DO1DhOd0kwIHrgb,3,3,[],[],2024-09-04 19:35:39.316979+00,"[{""annotations"":[],""sentence_id"":0}]","[{""coverage"":-1,""sentence_id"":0}]",[True],3,3
