uuid,annotator_id,human_fluency_rating,human_utility_rating,op,query_id,t2v_precision,t2v_coverage,timestamp,precise_citations,is_covered
8,DO1DhOd0kwIHrgb,3,1,Snippet,441,,,2024-09-19 00:01:56.568861+00,,
9,DO1DhOd0kwIHrgb,3,1,Quoted,442,,,2024-09-19 00:02:19.072674+00,,
10,DO1DhOd0kwIHrgb,3,3,Abstractive,443,,,2024-09-19 00:02:31.747695+00,,
11,DO1DhOd0kwIHrgb,3,3,Post Hoc,444,,,2024-09-19 00:02:39.695862+00,,
12,fSHVkyHSnBk9wvF,3,3,Paraphrased,441,,,2024-09-19 00:02:41.206569+00,,
13,6BBinbmBretqjJt,3,3,Post Hoc,441,,,2024-09-19 00:02:50.380677+00,,
14,DO1DhOd0kwIHrgb,2,1,Paraphrased,445,,,2024-09-19 00:02:54.001876+00,,
15,DO1DhOd0kwIHrgb,3,3,Entailed,446,,,2024-09-19 00:03:01.12789+00,,
16,6BBinbmBretqjJt,3,3,Abstractive,442,,,2024-09-19 00:03:09.992757+00,,
17,JnWOZNB21QHPObQ,3,3,Quoted,441,,,2024-09-19 00:03:12.300258+00,,
18,DO1DhOd0kwIHrgb,3,3,Gemini,449,,,2024-09-19 00:03:12.650904+00,,
19,fSHVkyHSnBk9wvF,3,2,Snippet,442,,,2024-09-19 00:03:17.167185+00,,
20,6BBinbmBretqjJt,3,2,Paraphrased,443,,,2024-09-19 00:03:35.59568+00,,
21,fSHVkyHSnBk9wvF,3,3,Gemini,443,,,2024-09-19 00:03:47.775101+00,,
22,gKMqFz1xmDEbCM8,3,3,Gemini,441,,,2024-09-19 00:03:50.728458+00,,
23,DO1DhOd0kwIHrgb,3,3,Abstractive,448,,,2024-09-19 00:03:51.864711+00,,
24,6BBinbmBretqjJt,2,2,Gemini,444,,,2024-09-19 00:03:58.331262+00,,
25,DO1DhOd0kwIHrgb,3,2,Entailed,450,,,2024-09-19 00:04:01.13756+00,,
26,DO1DhOd0kwIHrgb,3,1,Gemini,451,,,2024-09-19 00:04:16.841657+00,,
27,JnWOZNB21QHPObQ,3,3,Gemini,442,,,2024-09-19 00:04:28.469632+00,,
28,6BBinbmBretqjJt,1,2,Snippet,445,,,2024-09-19 00:04:34.182109+00,,
29,JnWOZNB21QHPObQ,3,3,Entailed,443,,,2024-09-19 00:04:35.545826+00,,
30,DO1DhOd0kwIHrgb,3,2,Paraphrased,452,,,2024-09-19 00:04:36.970293+00,,
31,DO1DhOd0kwIHrgb,3,3,Quoted,454,,,2024-09-19 00:04:43.10014+00,,
32,fSHVkyHSnBk9wvF,3,3,Abstractive,444,,,2024-09-19 00:04:45.386717+00,,
33,6BBinbmBretqjJt,3,1,Quoted,446,,,2024-09-19 00:04:50.90274+00,,
34,DO1DhOd0kwIHrgb,3,3,Post Hoc,455,,,2024-09-19 00:04:51.553797+00,,
35,gKMqFz1xmDEbCM8,3,3,Post Hoc,449,,,2024-09-19 00:05:00.324566+00,,
36,fSHVkyHSnBk9wvF,3,3,Entailed,445,,,2024-09-19 00:05:01.463798+00,,
37,DO1DhOd0kwIHrgb,2,1,Snippet,456,,,2024-09-19 00:05:02.458576+00,,
38,fSHVkyHSnBk9wvF,3,3,Post Hoc,446,,,2024-09-19 00:05:20.247715+00,,
39,gKMqFz1xmDEbCM8,3,3,Quoted,450,,,2024-09-19 00:05:21.208678+00,,
40,6BBinbmBretqjJt,3,2,Entailed,448,,,2024-09-19 00:05:23.196815+00,,
41,DO1DhOd0kwIHrgb,3,1,Quoted,457,,,2024-09-19 00:05:31.541546+00,,
42,gKMqFz1xmDEbCM8,3,3,Abstractive,452,,,2024-09-19 00:05:40.030569+00,,
43,fSHVkyHSnBk9wvF,3,3,Quoted,448,,,2024-09-19 00:05:45.227719+00,,
44,DO1DhOd0kwIHrgb,3,3,Paraphrased,458,,,2024-09-19 00:05:52.44413+00,,
45,gKMqFz1xmDEbCM8,3,3,Gemini,454,,,2024-09-19 00:05:58.091127+00,,
46,6gbJojnMbJMuo9Z,2,2,Quoted,445,,,2024-09-19 00:06:01.135139+00,,
47,DO1DhOd0kwIHrgb,3,3,Gemini,459,,,2024-09-19 00:06:03.448654+00,,
48,DO1DhOd0kwIHrgb,3,3,Post Hoc,460,,,2024-09-19 00:06:10.858046+00,,
49,gKMqFz1xmDEbCM8,3,3,Entailed,455,,,2024-09-19 00:06:12.450151+00,,
50,JnWOZNB21QHPObQ,1,1,Snippet,444,,,2024-09-19 00:06:14.68469+00,,
51,DO1DhOd0kwIHrgb,3,3,Entailed,461,,,2024-09-19 00:06:21.450383+00,,
52,JnWOZNB21QHPObQ,3,3,Post Hoc,445,,,2024-09-19 00:06:21.550858+00,,
53,6BBinbmBretqjJt,3,3,Paraphrased,449,,,2024-09-19 00:06:26.924117+00,,
54,6BBinbmBretqjJt,-1,-1,Snippet,450,,,2024-09-19 00:06:27.155257+00,,
55,JnWOZNB21QHPObQ,3,3,Abstractive,446,,,2024-09-19 00:06:27.508601+00,,
56,DO1DhOd0kwIHrgb,3,3,Abstractive,462,,,2024-09-19 00:06:27.848765+00,,
57,JnWOZNB21QHPObQ,2,3,Paraphrased,448,,,2024-09-19 00:06:40.891502+00,,
58,DO1DhOd0kwIHrgb,1,1,Snippet,463,,,2024-09-19 00:06:41.129925+00,,
59,6BBinbmBretqjJt,3,3,Gemini,452,,,2024-09-19 00:06:53.145627+00,,
60,fSHVkyHSnBk9wvF,3,3,Entailed,449,,,2024-09-19 00:06:59.593393+00,,
61,6BBinbmBretqjJt,3,3,Entailed,454,,,2024-09-19 00:07:00.099947+00,,
62,DO1DhOd0kwIHrgb,3,3,Post Hoc,464,,,2024-09-19 00:07:05.071244+00,,
63,6BBinbmBretqjJt,3,3,Paraphrased,455,,,2024-09-19 00:07:10.09448+00,,
64,fSHVkyHSnBk9wvF,3,3,Paraphrased,450,,,2024-09-19 00:07:12.395298+00,,
65,fSHVkyHSnBk9wvF,3,3,Post Hoc,450,,,2024-09-19 00:07:16.777371+00,,
66,DO1DhOd0kwIHrgb,2,1,Snippet,465,,,2024-09-19 00:07:20.070425+00,,
67,DO1DhOd0kwIHrgb,3,3,Entailed,466,,,2024-09-19 00:07:30.031925+00,,
