uuid,annotator_id,human_fluency_rating,human_utility_rating,op,query_id,t2v_precision,t2v_coverage,timestamp,precise_citations,is_covered
8,6BBinbmBretqjJt,3,2,Paraphrased,60,,,2024-09-20 00:04:19.214422+00,,
9,6BBinbmBretqjJt,3,3,Gemini,61,,,2024-09-20 00:04:34.015664+00,,
10,DO1DhOd0kwIHrgb,3,3,Entailed,60,,,2024-09-20 00:04:43.147881+00,,
11,6BBinbmBretqjJt,3,3,Post Hoc,62,,,2024-09-20 00:04:55.238472+00,,
12,DO1DhOd0kwIHrgb,2,1,Snippet,61,,,2024-09-20 00:04:59.528463+00,,
13,DO1DhOd0kwIHrgb,3,3,Abstractive,62,,,2024-09-20 00:05:05.664559+00,,
14,DO1DhOd0kwIHrgb,3,3,Gemini,63,,,2024-09-20 00:05:11.66389+00,,
15,DO1DhOd0kwIHrgb,3,3,Quoted,64,,,2024-09-20 00:05:16.604916+00,,
16,DO1DhOd0kwIHrgb,3,2,Paraphrased,65,,,2024-09-20 00:05:25.806529+00,,
17,DO1DhOd0kwIHrgb,3,3,Post Hoc,66,,,2024-09-20 00:05:31.226383+00,,
18,6BBinbmBretqjJt,2,2,Snippet,63,,,2024-09-20 00:05:42.405686+00,,
19,6BBinbmBretqjJt,2,3,Abstractive,64,,,2024-09-20 00:06:01.248538+00,,
20,DO1DhOd0kwIHrgb,3,3,Abstractive,67,,,2024-09-20 00:06:06.778491+00,,
21,DO1DhOd0kwIHrgb,3,3,Paraphrased,68,,,2024-09-20 00:06:11.781049+00,,
22,6BBinbmBretqjJt,3,3,Entailed,65,,,2024-09-20 00:06:17.923321+00,,
23,DO1DhOd0kwIHrgb,2,1,Snippet,69,,,2024-09-20 00:06:22.635244+00,,
24,DO1DhOd0kwIHrgb,3,2,Quoted,70,,,2024-09-20 00:06:30.559009+00,,
25,DO1DhOd0kwIHrgb,3,3,Gemini,71,,,2024-09-20 00:06:35.88695+00,,
26,6BBinbmBretqjJt,2,3,Quoted,66,,,2024-09-20 00:06:39.682366+00,,
27,DO1DhOd0kwIHrgb,3,3,Entailed,72,,,2024-09-20 00:06:41.722703+00,,
28,DO1DhOd0kwIHrgb,3,3,Post Hoc,73,,,2024-09-20 00:06:47.953176+00,,
29,DO1DhOd0kwIHrgb,3,3,Post Hoc,74,,,2024-09-20 00:07:11.204367+00,,
30,DO1DhOd0kwIHrgb,3,2,Paraphrased,75,,,2024-09-20 00:07:18.551814+00,,
31,DO1DhOd0kwIHrgb,3,3,Gemini,76,,,2024-09-20 00:07:24.176149+00,,
32,6BBinbmBretqjJt,1,2,Paraphrased,67,,,2024-09-20 00:07:27.146807+00,,
33,KHdznSlY7WjzguP,3,3,Abstractive,60,,,2024-09-20 00:07:28.351832+00,,
34,DO1DhOd0kwIHrgb,3,3,Abstractive,77,,,2024-09-20 00:07:30.574579+00,,
35,6BBinbmBretqjJt,3,3,Abstractive,68,,,2024-09-20 00:07:34.988941+00,,
36,DO1DhOd0kwIHrgb,3,3,Entailed,78,,,2024-09-20 00:07:36.128828+00,,
37,KHdznSlY7WjzguP,3,3,Quoted,61,,,2024-09-20 00:07:41.05136+00,,
38,DO1DhOd0kwIHrgb,2,1,Snippet,79,,,2024-09-20 00:07:44.118272+00,,
39,DO1DhOd0kwIHrgb,3,3,Quoted,80,,,2024-09-20 00:07:48.958562+00,,
40,6BBinbmBretqjJt,3,3,Quoted,69,,,2024-09-20 00:07:49.70901+00,,
41,6BBinbmBretqjJt,3,3,Gemini,70,,,2024-09-20 00:08:07.629613+00,,
42,KHdznSlY7WjzguP,2,3,Paraphrased,62,,,2024-09-20 00:08:12.672916+00,,
43,DO1DhOd0kwIHrgb,3,3,Post Hoc,81,,,2024-09-20 00:08:24.072368+00,,
44,6BBinbmBretqjJt,3,3,Entailed,71,,,2024-09-20 00:08:26.2245+00,,
45,DO1DhOd0kwIHrgb,2,1,Snippet,82,,,2024-09-20 00:08:34.107918+00,,
46,DO1DhOd0kwIHrgb,3,3,Abstractive,83,,,2024-09-20 00:08:40.975329+00,,
47,6BBinbmBretqjJt,3,3,Post Hoc,72,,,2024-09-20 00:08:41.802249+00,,
48,DO1DhOd0kwIHrgb,3,3,Paraphrased,84,,,2024-09-20 00:08:46.605159+00,,
49,KHdznSlY7WjzguP,3,3,Entailed,63,,,2024-09-20 00:08:49.615973+00,,
50,6BBinbmBretqjJt,1,2,Snippet,73,,,2024-09-20 00:08:56.302926+00,,
51,DO1DhOd0kwIHrgb,3,3,Gemini,85,,,2024-09-20 00:08:57.730684+00,,
52,KHdznSlY7WjzguP,3,3,Gemini,64,,,2024-09-20 00:09:00.077042+00,,
53,DO1DhOd0kwIHrgb,3,3,Quoted,86,,,2024-09-20 00:09:03.186892+00,,
54,DO1DhOd0kwIHrgb,3,3,Entailed,87,,,2024-09-20 00:09:08.404466+00,,
55,KHdznSlY7WjzguP,3,1,Snippet,65,,,2024-09-20 00:09:26.471587+00,,
56,DO1DhOd0kwIHrgb,3,3,Paraphrased,88,,,2024-09-20 00:09:32.901014+00,,
57,DO1DhOd0kwIHrgb,3,3,Gemini,89,,,2024-09-20 00:09:38.072426+00,,
58,6BBinbmBretqjJt,1,2,Snippet,74,,,2024-09-20 00:09:38.177289+00,,
59,KHdznSlY7WjzguP,3,3,Post Hoc,67,,,2024-09-20 00:09:41.568303+00,,
60,DO1DhOd0kwIHrgb,3,3,Abstractive,90,,,2024-09-20 00:09:42.853926+00,,
61,DO1DhOd0kwIHrgb,3,3,Entailed,91,,,2024-09-20 00:09:47.657558+00,,
62,DO1DhOd0kwIHrgb,2,1,Snippet,92,,,2024-09-20 00:09:56.655813+00,,
63,DO1DhOd0kwIHrgb,3,3,Quoted,93,,,2024-09-20 00:10:01.969024+00,,
64,6BBinbmBretqjJt,3,3,Entailed,75,,,2024-09-20 00:10:03.675331+00,,
65,DO1DhOd0kwIHrgb,3,3,Post Hoc,94,,,2024-09-20 00:10:07.14918+00,,
66,KHdznSlY7WjzguP,3,3,Gemini,66,,,2024-09-20 00:10:15.808041+00,,
67,fSHVkyHSnBk9wvF,1,1,Snippet,60,,,2024-09-20 00:10:21.056187+00,,
68,KHdznSlY7WjzguP,3,3,Entailed,68,,,2024-09-20 00:10:23.003634+00,,
69,6BBinbmBretqjJt,2,2,Paraphrased,76,,,2024-09-20 00:10:29.784169+00,,
70,DO1DhOd0kwIHrgb,3,3,Entailed,95,,,2024-09-20 00:10:30.500535+00,,
71,DO1DhOd0kwIHrgb,3,3,Paraphrased,96,,,2024-09-20 00:10:35.682843+00,,
72,DO1DhOd0kwIHrgb,3,3,Quoted,97,,,2024-09-20 00:10:41.233579+00,,
73,KHdznSlY7WjzguP,3,2,Paraphrased,69,,,2024-09-20 00:10:42.404557+00,,
74,DO1DhOd0kwIHrgb,3,3,Post Hoc,98,,,2024-09-20 00:10:45.761281+00,,
75,6BBinbmBretqjJt,3,3,Post Hoc,77,,,2024-09-20 00:10:48.366757+00,,
76,DO1DhOd0kwIHrgb,3,3,Abstractive,99,,,2024-09-20 00:10:50.3607+00,,
77,DO1DhOd0kwIHrgb,2,2,Snippet,100,,,2024-09-20 00:10:56.797114+00,,
78,DO1DhOd0kwIHrgb,3,3,Gemini,101,,,2024-09-20 00:11:03.551647+00,,
79,6BBinbmBretqjJt,1,2,Abstractive,78,,,2024-09-20 00:11:15.724479+00,,
80,DO1DhOd0kwIHrgb,3,3,Entailed,102,,,2024-09-20 00:11:28.236526+00,,
81,6BBinbmBretqjJt,3,3,Gemini,79,,,2024-09-20 00:11:31.23466+00,,
82,KHdznSlY7WjzguP,3,1,Abstractive,70,,,2024-09-20 00:11:32.966337+00,,
83,DO1DhOd0kwIHrgb,3,3,Abstractive,103,,,2024-09-20 00:11:33.062935+00,,
84,DO1DhOd0kwIHrgb,3,3,Post Hoc,104,,,2024-09-20 00:11:40.300306+00,,
85,KHdznSlY7WjzguP,3,3,Post Hoc,71,,,2024-09-20 00:11:44.937845+00,,
86,DO1DhOd0kwIHrgb,3,3,Gemini,105,,,2024-09-20 00:11:45.960003+00,,
87,DO1DhOd0kwIHrgb,3,2,Quoted,106,,,2024-09-20 00:11:51.658966+00,,
