uuid,annotator_id,human_fluency_rating,human_utility_rating,op,query_id,t2v_precision,t2v_coverage,timestamp,precise_citations,is_covered
1,DO1DhOd0kwIHrgb,2,1,Snippet,60,,,2024-09-18 00:17:52.468346+00,,
2,DO1DhOd0kwIHrgb,3,3,Post Hoc,61,,,2024-09-18 00:17:57.799294+00,,
3,DO1DhOd0kwIHrgb,2,2,Quoted,62,,,2024-09-18 00:18:23.843392+00,,
4,6BBinbmBretqjJt,3,2,Paraphrased,60,,,2024-09-18 00:18:27.772431+00,,
5,DO1DhOd0kwIHrgb,3,3,Gemini,64,,,2024-09-18 00:18:29.048838+00,,
6,6BBinbmBretqjJt,3,2,Quoted,61,,,2024-09-18 00:18:34.759431+00,,
7,DO1DhOd0kwIHrgb,3,3,Abstractive,65,,,2024-09-18 00:18:36.793576+00,,
8,6BBinbmBretqjJt,3,3,Post Hoc,62,,,2024-09-18 00:18:41.177018+00,,
9,DO1DhOd0kwIHrgb,3,2,Paraphrased,66,,,2024-09-18 00:18:47.996509+00,,
10,6BBinbmBretqjJt,3,3,Abstractive,64,,,2024-09-18 00:18:51.801526+00,,
11,DO1DhOd0kwIHrgb,3,3,Entailed,67,,,2024-09-18 00:18:56.096014+00,,
12,6BBinbmBretqjJt,1,2,Snippet,66,,,2024-09-18 00:19:07.281067+00,,
13,JnWOZNB21QHPObQ,3,3,Entailed,60,,,2024-09-18 00:19:12.197799+00,,
14,JDbKqDU0kVcpzSa,3,3,Quoted,60,,,2024-09-18 00:19:12.73449+00,,
15,6BBinbmBretqjJt,3,3,Gemini,67,,,2024-09-18 00:19:15.755433+00,,
16,6BBinbmBretqjJt,3,3,Entailed,68,,,2024-09-18 00:19:24.146173+00,,
17,DO1DhOd0kwIHrgb,3,3,Abstractive,68,,,2024-09-18 00:19:24.59908+00,,
18,JnWOZNB21QHPObQ,3,3,Gemini,61,,,2024-09-18 00:19:27.362102+00,,
19,JDbKqDU0kVcpzSa,3,3,Abstractive,61,,,2024-09-18 00:19:33.1916+00,,
20,DO1DhOd0kwIHrgb,3,2,Snippet,69,,,2024-09-18 00:19:35.130358+00,,
21,JnWOZNB21QHPObQ,3,3,Abstractive,62,,,2024-09-18 00:19:40.230643+00,,
22,DO1DhOd0kwIHrgb,3,3,Gemini,70,,,2024-09-18 00:19:45.394881+00,,
23,6BBinbmBretqjJt,2,2,Quoted,69,,,2024-09-18 00:19:53.690454+00,,
24,DO1DhOd0kwIHrgb,1,2,Quoted,71,,,2024-09-18 00:19:58.489588+00,,
25,JDbKqDU0kVcpzSa,3,3,Paraphrased,62,,,2024-09-18 00:20:01.371339+00,,
26,JnWOZNB21QHPObQ,3,2,Post Hoc,64,,,2024-09-18 00:20:02.423329+00,,
27,DO1DhOd0kwIHrgb,3,3,Entailed,72,,,2024-09-18 00:20:07.042895+00,,
28,6BBinbmBretqjJt,2,2,Paraphrased,70,,,2024-09-18 00:20:09.732709+00,,
29,DO1DhOd0kwIHrgb,3,2,Paraphrased,73,,,2024-09-18 00:20:15.907499+00,,
30,6BBinbmBretqjJt,3,3,Abstractive,71,,,2024-09-18 00:20:19.008725+00,,
31,JnWOZNB21QHPObQ,3,3,Quoted,65,,,2024-09-18 00:20:22.258812+00,,
32,DO1DhOd0kwIHrgb,3,3,Post Hoc,74,,,2024-09-18 00:20:24.719729+00,,
33,JnWOZNB21QHPObQ,3,3,Paraphrased,67,,,2024-09-18 00:20:32.444607+00,,
34,6BBinbmBretqjJt,1,2,Snippet,72,,,2024-09-18 00:20:42.134353+00,,
35,6BBinbmBretqjJt,3,3,Post Hoc,73,,,2024-09-18 00:20:50.132705+00,,
36,DO1DhOd0kwIHrgb,3,3,Paraphrased,75,,,2024-09-18 00:20:54.095519+00,,
37,JnWOZNB21QHPObQ,3,3,Snippet,68,,,2024-09-18 00:20:57.385757+00,,
38,6BBinbmBretqjJt,3,3,Entailed,74,,,2024-09-18 00:20:58.56061+00,,
39,DO1DhOd0kwIHrgb,3,3,Quoted,76,,,2024-09-18 00:21:00.083059+00,,
40,6BBinbmBretqjJt,3,3,Gemini,75,,,2024-09-18 00:21:04.937462+00,,
41,DO1DhOd0kwIHrgb,3,1,Gemini,77,,,2024-09-18 00:21:08.298467+00,,
42,6BBinbmBretqjJt,3,3,Entailed,76,,,2024-09-18 00:21:37.318511+00,,
43,DO1DhOd0kwIHrgb,3,3,Post Hoc,78,,,2024-09-18 00:21:38.987107+00,,
44,JDbKqDU0kVcpzSa,3,1,Snippet,64,,,2024-09-18 00:21:39.435586+00,,
45,DO1DhOd0kwIHrgb,3,3,Entailed,79,,,2024-09-18 00:21:44.131455+00,,
46,JnWOZNB21QHPObQ,3,3,Paraphrased,69,,,2024-09-18 00:21:47.358703+00,,
47,6BBinbmBretqjJt,3,2,Paraphrased,77,,,2024-09-18 00:21:48.431693+00,,
48,6gbJojnMbJMuo9Z,3,3,Entailed,66,,,2024-09-18 00:21:49.528626+00,,
49,fSHVkyHSnBk9wvF,3,3,Abstractive,60,,,2024-09-18 00:21:51.167425+00,,
50,JDbKqDU0kVcpzSa,3,3,Entailed,65,,,2024-09-18 00:21:52.226413+00,,
51,DO1DhOd0kwIHrgb,2,1,Snippet,80,,,2024-09-18 00:21:54.046789+00,,
52,DO1DhOd0kwIHrgb,3,3,Abstractive,81,,,2024-09-18 00:21:59.9696+00,,
53,6BBinbmBretqjJt,1,2,Snippet,78,,,2024-09-18 00:22:00.032714+00,,
54,JnWOZNB21QHPObQ,3,3,Abstractive,70,,,2024-09-18 00:22:00.799925+00,,
55,fSHVkyHSnBk9wvF,3,3,Entailed,61,,,2024-09-18 00:22:05.989933+00,,
56,6BBinbmBretqjJt,3,3,Gemini,79,,,2024-09-18 00:22:10.7573+00,,
57,JDbKqDU0kVcpzSa,3,3,Gemini,66,,,2024-09-18 00:22:16.992137+00,,
58,6BBinbmBretqjJt,3,3,Abstractive,80,,,2024-09-18 00:22:21.976429+00,,
59,DO1DhOd0kwIHrgb,3,2,Quoted,82,,,2024-09-18 00:22:26.421769+00,,
60,JDbKqDU0kVcpzSa,3,3,Post Hoc,68,,,2024-09-18 00:22:27.106185+00,,
61,JnWOZNB21QHPObQ,3,3,Snippet,71,,,2024-09-18 00:22:28.942068+00,,
62,fSHVkyHSnBk9wvF,2,1,Snippet,62,,,2024-09-18 00:22:30.86486+00,,
63,DO1DhOd0kwIHrgb,3,3,Abstractive,83,,,2024-09-18 00:22:32.710081+00,,
64,6BBinbmBretqjJt,3,2,Quoted,81,,,2024-09-18 00:22:38.443544+00,,
65,DO1DhOd0kwIHrgb,3,2,Paraphrased,84,,,2024-09-18 00:22:42.97716+00,,
66,6gbJojnMbJMuo9Z,3,2,Snippet,67,,,2024-09-18 00:22:46.897541+00,,
67,6BBinbmBretqjJt,3,3,Post Hoc,82,,,2024-09-18 00:22:47.410027+00,,
68,JnWOZNB21QHPObQ,3,1,Quoted,72,,,2024-09-18 00:22:50.863796+00,,
69,DO1DhOd0kwIHrgb,2,1,Post Hoc,85,,,2024-09-18 00:22:55.244243+00,,
70,JnWOZNB21QHPObQ,3,3,Entailed,73,,,2024-09-18 00:23:01.067323+00,,
71,DO1DhOd0kwIHrgb,3,3,Entailed,86,,,2024-09-18 00:23:01.580689+00,,
