uuid,annotator_id,human_fluency_rating,human_utility_rating,op,query_id,t2v_precision,t2v_coverage,timestamp,precise_citations,is_covered
22,6BBinbmBretqjJt,2,2,Quoted,241,,,2024-09-16 23:49:19.238887+00,,
23,6BBinbmBretqjJt,1,2,Snippet,242,,,2024-09-16 23:49:42.174709+00,,
24,6BBinbmBretqjJt,3,3,Entailed,243,,,2024-09-16 23:49:54.510783+00,,
25,6BBinbmBretqjJt,3,3,Post Hoc,244,,,2024-09-16 23:50:21.701314+00,,
26,6BBinbmBretqjJt,3,2,Paraphrased,245,,,2024-09-16 23:50:57.222425+00,,
27,6BBinbmBretqjJt,3,3,Gemini,246,,,2024-09-16 23:51:21.619097+00,,
28,6BBinbmBretqjJt,3,3,Abstractive,247,,,2024-09-16 23:51:32.942587+00,,
29,6BBinbmBretqjJt,3,3,Entailed,248,,,2024-09-16 23:54:39.831162+00,,
30,6BBinbmBretqjJt,3,3,Quoted,249,,,2024-09-16 23:54:57.738012+00,,
31,6BBinbmBretqjJt,2,2,Abstractive,250,,,2024-09-16 23:55:45.516562+00,,
32,6BBinbmBretqjJt,3,3,Post Hoc,251,,,2024-09-16 23:56:01.619545+00,,
33,6BBinbmBretqjJt,3,3,Gemini,252,,,2024-09-16 23:56:21.217485+00,,
34,6BBinbmBretqjJt,2,1,Paraphrased,253,,,2024-09-16 23:56:50.878275+00,,
35,6BBinbmBretqjJt,3,3,Snippet,254,,,2024-09-16 23:57:25.747892+00,,
36,fSHVkyHSnBk9wvF,3,3,Abstractive,241,,,2024-09-17 00:51:00.523204+00,,
37,6BBinbmBretqjJt,2,2,Quoted,255,,,2024-09-17 00:52:04.774268+00,,
38,6BBinbmBretqjJt,3,3,Snippet,256,,,2024-09-17 00:52:24.337492+00,,
39,6BBinbmBretqjJt,3,3,Post Hoc,257,,,2024-09-17 00:52:51.491755+00,,
40,fSHVkyHSnBk9wvF,3,3,Post Hoc,242,,,2024-09-17 00:53:13.621413+00,,
41,6BBinbmBretqjJt,3,2,Paraphrased,258,,,2024-09-17 00:53:32.639753+00,,
42,fSHVkyHSnBk9wvF,3,3,Paraphrased,243,,,2024-09-17 00:53:34.992362+00,,
43,6BBinbmBretqjJt,2,2,Abstractive,260,,,2024-09-17 00:54:08.01088+00,,
44,6BBinbmBretqjJt,3,3,Gemini,262,,,2024-09-17 00:54:34.931653+00,,
45,6BBinbmBretqjJt,3,2,Entailed,263,,,2024-09-17 00:54:48.059143+00,,
46,fSHVkyHSnBk9wvF,3,1,Snippet,244,,,2024-09-17 00:55:48.024528+00,,
47,6BBinbmBretqjJt,3,3,Post Hoc,264,,,2024-09-17 00:55:58.37385+00,,
48,fSHVkyHSnBk9wvF,3,3,Entailed,245,,,2024-09-17 00:56:01.725502+00,,
49,6BBinbmBretqjJt,3,3,Snippet,265,,,2024-09-17 00:56:16.702083+00,,
