Q1,Q6,Q7,Q2,Q3,Q4,Q5,Q8,Q9
Which of the following platforms have you used before?,"If you are seeking information that will influence your decision-making in a high-stakes setting, which platform would you rather use to find the information?","If you are seeking information that will influence your decision-making in a low-stakes setting, which platform would you rather use to find the information?","If you have a question concerning how to handle a personal medical issue, which platform would you use to seek an answer?","If you have a question concerning topics in a friendly game of trivia, which platform would you use to seek an answer?","If you had a question concerning how to file your taxes, which platform would you use to seek an answer?","If you were trying to explain a complicated science topic to your third grade niece, which platform would you use to seek an answer?","What are your reasons to use search engines (e.g. Google, Bing) instead of chatbots (e.g. ChatGPT, Claude) when seeking information to answer a query?","What are your reasons to use chatbots (e.g. ChatGPT, Claude) instead of search engines (e.g. Google, Bing) when seeking information to answer a query?"
"{""ImportId"":""QID12""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID2""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID4""}","{""ImportId"":""QID10""}"
"1,2",1,1,1,1,1,1,"2,6",5
"1,2,3",2,1,2,3,2,3,6,7
1,1,2,1,1,1,3,"1,3","2,5"
"1,3",2,2,1,3,1,3,"3,6","5,7"
"1,3",2,1,3,1,1,3,"1,2,6","1,5,7"
"1,3",1,1,1,1,1,3,3,"2,5"
"1,2,3",1,2,1,1,2,2,3,"2,5,7"
"1,3",1,1,1,1,1,3,"1,3,6","2,7"
"1,2,3",1,2,1,2,2,3,"1,3,6","2,5,7"
"1,3",1,1,1,1,1,2,"1,6","2,5"
"1,3",1,1,1,2,1,3,"1,3,6,7","2,5"
1,1,1,1,1,1,1,"1,2,3,5,6,7",2
1,1,1,1,1,1,1,"1,2,3,6",5
1,1,1,1,1,3,1,"2,3,6","2,3,5,6"
1,1,2,1,2,2,2,"1,3,6","2,5"
"1,3",1,2,1,3,1,3,"2,3,6,7","2,5"
1,1,1,1,1,1,1,"1,2,3,6",5
"1,3",1,1,3,2,3,2,"1,6","5,6"
"1,3",2,1,3,3,2,2,"1,2,3,6,7","1,2,3,6,7"
"1,3",1,1,1,1,1,1,"2,3,6",5
1,1,1,1,1,1,1,"1,2",5
1,1,1,1,1,1,1,"1,6",3
1,1,2,1,3,2,1,"2,6",7
1,1,1,1,1,1,1,6,2
1,1,1,1,1,1,1,"1,3,7",5
"1,3",1,2,1,3,1,3,"1,3,6","2,5,7"
1,2,1,1,1,1,1,"1,2,6",3
"1,2",1,1,1,3,1,2,"1,3,6","2,5"
"1,3",1,1,1,1,1,1,"1,2,3,6","2,6"
"1,3",1,1,1,1,1,1,"1,3,6",5
"1,2,3",2,2,2,3,2,3,"2,6","5,7"
"1,3",1,1,1,3,1,3,"2,3,6",7
"1,2,3",1,2,1,3,1,3,"1,3,6","5,7"
1,1,1,1,1,1,1,"1,2,6",5
1,1,1,1,1,1,1,"1,3","1,3"
1,1,1,1,1,1,1,3,5
1,1,1,1,1,1,3,6,7
"1,3",1,1,1,3,1,3,3,"2,7"
1,1,1,1,1,1,1,"1,2,3,6",5
"1,3",1,1,1,1,1,2,1,5
1,1,1,1,1,1,2,3,2
"1,3",1,1,1,1,1,1,"1,2",5
"1,2,3",1,1,1,3,1,3,"1,2,3,6","2,5"
"1,2,3",2,2,2,3,3,3,3,6
"1,2,3",1,1,1,2,1,3,"1,3","5,7"
1,1,1,1,1,1,3,"1,3",5
1,1,1,1,1,1,1,"1,2,3",5
"1,3",1,1,1,1,1,1,"1,2,6",5
"1,3",1,1,1,1,1,1,6,2
"1,2,3",2,1,1,1,1,3,"3,6",7
